time,open,high,low,close
1628962020,3233.15,3233.15,3233.15,3233.15
1628962080,3233.15,3233.15,3233.15,3233.15
1628962140,3244.77,3244.77,3244.77,3244.77
1628962200,3244.77,3244.77,3244.77,3244.77
1628962260,3244.77,3244.77,3244.77,3244.77
1628962320,3244.77,3244.77,3244.77,3244.77
1628962380,3244.77,3244.77,3244.77,3244.77
1628962440,3243.17,3243.17,3243.17,3243.17
1628962500,3242.59,3243.14,3242.59,3243.14
1628962560,3244.84,3244.84,3244.84,3244.84
1628962620,3246.30,3246.30,3246.30,3246.30
1628962680,3247.36,3247.36,3247.36,3247.36
1628962740,3248.16,3248.16,3248.14,3248.14
1628962800,3248.14,3248.14,3248.14,3248.14
1628962860,3248.14,3248.14,3248.14,3248.14
1628962920,3249.09,3249.09,3249.09,3249.09
1628962980,3249.09,3249.09,3249.09,3249.09
1628963040,3249.09,3249.09,3249.09,3249.09
1628963100,3249.09,3249.09,3249.09,3249.09
1628963160,3249.09,3249.09,3249.09,3249.09
1628963220,3249.09,3249.09,3249.09,3249.09
1628963280,3249.09,3249.09,3249.09,3249.09
1628963340,3252.41,3252.41,3252.41,3252.41
1628963400,3252.41,3252.41,3252.41,3252.41
1628963460,3256.55,3256.55,3256.55,3256.55
1628963520,3256.55,3256.55,3256.55,3256.55
1628963580,3256.55,3256.55,3256.55,3256.55
1628963640,3256.55,3256.55,3256.55,3256.55
1628963700,3256.55,3256.55,3256.55,3256.55
1628963760,3256.55,3256.55,3256.55,3256.55
1628963820,3256.55,3256.55,3256.55,3256.55
1628963880,3256.55,3256.55,3256.55,3256.55
1628963940,3256.55,3256.55,3256.55,3256.55
1628964000,3246.08,3246.08,3246.08,3246.08
1628964060,3246.90,3246.90,3246.90,3246.90
1628964120,3246.90,3246.90,3246.90,3246.90
1628964180,3246.90,3246.90,3246.90,3246.90
1628964240,3250.91,3250.91,3250.91,3250.91
1628964300,3250.91,3250.91,3250.91,3250.91
1628964360,3250.91,3250.91,3250.91,3250.91
1628964420,3250.91,3250.91,3250.91,3250.91
1628964480,3245.50,3245.50,3245.02,3245.02
1628964540,3247.01,3247.01,3247.01,3247.01
1628964600,3247.01,3247.46,3247.01,3247.46
1628964660,3247.46,3247.46,3247.46,3247.46
1628964720,3248.32,3248.32,3248.32,3248.32
1628964780,3248.32,3248.32,3248.32,3248.32
1628964840,3248.32,3248.32,3248.32,3248.32
1628964900,3248.32,3248.32,3248.32,3248.32
1628964960,3248.32,3248.32,3248.32,3248.32
1628965020,3248.32,3248.32,3248.32,3248.32
1628965080,3248.32,3248.32,3248.32,3248.32
1628965140,3245.95,3245.95,3245.95,3245.95
1628965200,3245.95,3245.95,3245.95,3245.95
1628965260,3245.95,3245.95,3245.95,3245.95
1628965320,3245.95,3245.95,3245.95,3245.95
1628965380,3245.95,3245.95,3245.95,3245.95
1628965440,3245.95,3245.95,3245.95,3245.95
1628965500,3245.95,3245.95,3245.95,3245.95
1628965560,3245.95,3245.95,3245.95,3245.95
1628965620,3245.95,3245.95,3245.95,3245.95
1628965680,3245.95,3245.95,3245.95,3245.95
